3400 qiu1 qiū
3401 tian4 tiàn
3404 kua4 kuà
3405 wu3 wǔ
3406 yin3 yǐn
340C yi2 yí
3416 xie2 xié
341C chou2 chóu
3421 nuo4 nuò
3424 dan1 dān
3428 xu4 xù
3429 xing2 xíng
342B xiong1 xiōng
342C liu2 liú
342D lin3 lǐn
342E xiang1 xiāng
342F yong1 yōng
3430 xin4 xìn
3431 zhen3 zhěn
3432 dai4 dài
3433 wu4 wù
3434 pan1 pān
3437 ma3 mǎ
3438 qian4 qiàn
3439 yi4 yì
343A yin2 yín
343B nei4 nèi
343C cheng4 chèng
343D feng1 fēng
3441 zhuo1 zhuō
3442 fang3 fǎng
3443 ao3 ǎo
3444 wu3 wǔ
3445 zuo4 zuò
3447 zhou4 zhòu
3448 dong4 dòng
3449 su4 sù
344A yi4 yì
344B qiong2 qióng
344C kuang1 kuāng
344D lei4 lèi
344E nao3 nǎo
344F zhu4 zhù
3450 shu1 shū
3454 xu3 xǔ
3457 shen1 shēn
3458 jie4 jiè
3459 die2 dié
345A nuo2 nuó
345B su4 sù
345C yi4 yì
345D long4 lòng
345E ying4 yìng
345F beng3 běng
3463 lan2 lán
3464 miao2 miáo
3465 yi4 yì
3466 li4 lì
3467 ji4 jì
3468 yu3 yǔ
3469 luo2 luó
346A chai2 chái
346E hun2 hún
346F xu3 xǔ
3470 hui4 huì
3471 rao3 rǎo
3473 zhou4 zhòu
3475 han4 hàn
3476 xi4 xì
3477 tai4 tài
3478 yao2 yáo
3479 hui4 huì
347A jun4 jùn
347B ma4 mà
347C lüe4 lüè
347D tang2 táng
347E yao2 yáo
347F zhao4 zhào
3480 zhai1 zhāi
3481 yu3 yǔ
3482 zhuo2 zhuó
3483 er4 èr
3484 ran3 rǎn
3485 qi3 qǐ
3486 chi4 chì
3487 wu3 wǔ
3488 han4 hàn
3489 tang3 tǎng
348A se4 sè
348C qiong2 qióng
348D lei2 léi
348E sa4 sà
3491 kui3 kuǐ
3492 pu2 pú
3493 ta4 tà
3494 shu2 shú
3495 yang1 yāng
3496 ou3 ǒu
3497 tai2 tái
3499 mian2 mián
349A yin4 yìn
349B diao4 diào
349C yu3 yǔ
349D mie4 miè
349E jun4 jùn
349F niao3 niǎo
34A0 xie4 xiè
34A1 you2 yóu
34A4 che4 chè
34A5 feng1 fēng
34A6 lei3 lěi
34A7 li4 lì
34A9 luo3 luǒ
34AB ji4 jì
34B0 quan2 quán
34B2 cai2 cái
34B3 liang3 liǎng
34B4 gu3 gǔ
34B5 mao4 mào
34B7 gua3 guǎ
34B8 sui4 suì
34BB mao4 mào
34BC man2 mán
34BD quan1 quān
34BE shi4 shì
34BF li2 lí
34C1 wang3 wǎng
34C2 kou4 kòu
34C3 du4 dù
34C4 zhen4 zhèn
34C5 ting1 tīng
34C8 bing4 bìng
34C9 huo4 huò
34CA dong4 dòng
34CB gong4 gòng
34CC cheng1 chēng
34CE qin1 qīn
34CF jiong3 jiǒng
34D0 lu4 lù
34D1 xing4 xìng
34D3 nan2 nán
34D4 xie4 xiè
34D6 bi4 bì
34D7 jie2 jié
34D8 su4 sù
34DA gong1 gōng
34DC you4 yòu
34DD xing2 xíng
34DE qia4 qià
34DF pi2 pí
34E0 dian4 diàn
34E1 fu3 fǔ
34E2 luo4 luò
34E3 qia4 qià
34E4 qia4 qià
34E5 tang1 tāng
34E6 bai1 bāi
34E7 gan1 gān
34E8 ci2 cí
34E9 xuan1 xuān
34EA lang3 lǎng
34ED she2 shé
34EF li2 lí
34F0 hua4 huà
34F1 tou2 tóu
34F2 pian1 piān
34F3 di1 dī
34F4 ruan3 ruǎn
34F5 e4 è
34F6 qie4 qiè
34F7 yi4 yì
34F8 zhuo1 zhuō
34F9 rui4 ruì
34FA jian1 jiān
34FC chi4 chì
34FD chong2 chóng
34FE xi1 xī
3500 lüe4 lüè
3501 deng1 dēng
3502 lin2 lín
3503 jue2 jué
3504 su4 sù
3505 xiao4 xiào
3506 zan4 zàn
3509 zhu3 zhǔ
350A zhan3 zhǎn
350B jian1 jiān
350C zou4 zòu
350D chua1 chuā
350E xie4 xiè
350F li4 lì
3511 chi4 chì
3512 xi2 xí
3513 jian3 jiǎn
3515 ji2 jí
3517 fei4 fèi
3518 chu4 chù
3519 beng1 bēng
351A jie2 jié
351C ba2 bá
351D liang3 liǎng
351E kuai4 kuài
3520 xia1 xiā
3521 bie1 biē
3522 jue2 jué
3523 lei2 léi
3524 xin4 xìn
3525 bai4 bài
3526 yang3 yǎng
3527 lǜ lǜ
3528 bei4 bèi
3529 e4 è
352A lu3 lǔ
352D che4 chè
352E nuo2 nuó
352F xuan2 xuán
3530 heng2 héng
3531 yu3 yǔ
3533 gui3 guǐ
3534 yi4 yì
3535 xuan3 xuǎn
3536 gong4 gòng
3537 lou4 lòu
3538 ti1 tī
3539 le4 lè
353A shi4 shì
353C sun3 sǔn
353D yao4 yào
353E xian1 xiān
353F zou4 zòu
3541 que4 què
3542 yin2 yín
3543 xi1 xī
3544 zhi3 zhǐ
3545 jia2 jiá
3546 hu4 hù
3547 la1 lā
3548 yi3 yǐ
3549 ke4 kè
354A fu1 fū
354B qin2 qín
354C ai4 ài
354E ke4 kè
354F chu2 chú
3550 xie3 xiě
3551 chu2 chú
3552 wei1 wēi
3555 huan4 huàn
3556 su4 sù
3557 you4 yòu
3559 jun4 jùn
355A zhao3 zhǎo
355B xu4 xù
355C shi3 shǐ
355E shua1 shuā
355F kui4 kuì
3560 shuang1 shuāng
3561 he2 hé
3562 gai4 gài
3563 yan3 yǎn
3564 qiu2 qiú
3565 shen1 shēn
3566 hua4 huà
3567 xi1 xī
3568 fan4 fàn
3569 pang4 pàng
356A dan3 dǎn
356B fang3 fǎng
356C gong1 gōng
356D ao1 āo
356E fu3 fǔ
356F ne4 nè
3570 xue4 xuè
3571 you2 yóu
3572 hua2 huá
3574 chen2 chén
3575 guo2 guó
3576 ň ň
3577 hua4 huà
3578 li4 lì
3579 fa2 fá
357A xiao1 xiāo
357B pou3 pǒu
357D si4 sì
3580 le4 lè
3581 lin4 lìn
3582 yi4 yì
3583 hou3 hǒu
3585 xu4 xù
3586 qu2 qú
3587 er2 ér
358A xun2 xún
358F nie4 niè
3590 wei3 wěi
3591 xie4 xiè
3592 ti2 tí
3593 hong2 hóng
3594 tun3 tǔn
3595 nie4 niè
3596 nie4 niè
3597 yin2 yín
3598 zhen1 zhēn
359E wai1 wāi
359F shou4 shòu
35A0 nuo4 nuò
35A1 ye4 yè
35A2 qi2 qí
35A3 tou4 tòu
35A4 han2 hán
35A5 jun4 jùn
35A6 dong3 dǒng
35A7 hun1 hūn
35A8 lu4 lù
35A9 ju1 jū
35AA huo4 huò
35AB ling2 líng
35AD tian3 tiǎn
35AE lun2 lún
35B5 ge2 gé
35B6 yan1 yān
35B7 shi2 shí
35B8 xue2 xué
35B9 pen1 pēn
35BA chun3 chǔn
35BB niu2 niú
35BC duo3 duǒ
35BD ze2 zé
35BE e4 è
35BF xie2 xié
35C0 you1 yōu
35C1 e4 è
35C2 sheng3 shěng
35C3 wen3 wěn
35C4 ku1 kū
35C5 hu2 hú
35C6 ge2 gé
35C7 xia2 xiá
35C8 man4 màn
35C9 lüe4 lüè
35CA ji2 jí
35CB hou2 hóu
35CC zhi4 zhì
35CF wai1 wāi
35D1 bai bai
35D2 ai4 ài
35D3 zhui1 zhuī
35D4 qian1 qiān
35D5 gou4 gòu
35D6 dan4 dàn
35D7 bei1 bēi
35D8 bo2 bó
35D9 chu1 chū
35DA li4 lì
35DB xiao4 xiào
35DC xiu4 xiù
35E2 hong2 hóng
35E3 ti4 tì
35E4 cu4 cù
35E5 kuo4 kuò
35E6 lao2 láo
35E7 zhi4 zhì
35E8 xie1 xiē
35E9 xi1 xī
35EB qie4 qiè
35EC zha1 zhā
35ED xi1 xī
35F0 cong2 cóng
35F1 ji2 jí
35F2 huo4 huò
35F3 ta3 tǎ
35F4 yan2 yán
35F5 xu4 xù
35F6 po1 pō
35F7 sai3 sǎi
35FB guo1 guō
35FC ye4 yè
35FD xiang3 xiǎng
35FE xue1 xuē
35FF he2 hé
3600 zuo4 zuò
3601 yi4 yì
3602 ci2 cí
3604 leng1 lēng
3605 xian2 xián
3606 tai3 tǎi
3607 rong2 róng
3608 yi4 yì
3609 zhi4 zhì
360A xi1 xī
360B xian2 xián
360C ju4 jù
360D ji2 jí
360E han3 hǎn
3610 pao4 pào
3611 li4 lì
3613 lan2 lán
3614 sai3 sǎi
3615 han3 hǎn
3616 yan2 yán
3617 qu1 qū
3619 yan2 yán
361A han3 hǎn
361B kan1 kān
361C chi3 chǐ
361D nie4 niè
361E huo4 huò
3620 bi4 bì
3621 xia2 xiá
3622 weng3 wěng
3623 xuan2 xuán
3624 wan1 wān
3625 you2 yóu
3626 qin2 qín
3627 xu4 xù
3628 nie4 niè
3629 bi4 bì
362A hao4 hào
362B jing3 jǐng
362C ao4 ào
362D ao4 ào
3630 zhen1 zhēn
3631 tan1 tān
3632 ju2 jú
3634 zuo4 zuò
3635 bu4 bù
3636 jie2 jié
3637 ai4 ài
3638 zang4 zàng
3639 ci2 cí
363A fa2 fá
363F nie4 niè
3640 liu4 liù
3641 mei2 méi
3642 dui4 duì
3643 bang1 bāng
3644 bi4 bì
3645 bao3 bǎo
3647 chu4 chù
3648 xia4 xià
3649 tian3 tiǎn
364A chang2 cháng
364D duo1 duō
364E wei1 wēi
364F fu4 fù
3650 duo3 duǒ
3651 yu3 yǔ
3652 ye3 yě
3653 kui2 kuí
3654 wei3 wěi
3655 kuai4 kuài
3657 wei1 wēi
3658 yao1 yāo
3659 long3 lǒng
365A xing1 xīng
365B bu3 bǔ
365C chi2 chí
365D xie2 xié
365E nie4 niè
365F lang3 lǎng
3660 yi1 yī
3661 zong1 zōng
3662 man2 mán
3663 zhang4 zhàng
3664 xia4 xià
3665 gun4 gùn
3666 xie2 xié
3668 ji4 jì
3669 liao2 liáo
366A yi4 yì
366B ji2 jí
366C yin2 yín
366E da1 dā
366F yi4 yì
3670 xie4 xiè
3671 hao4 hào
3672 yong3 yǒng
3673 kan3 kǎn
3674 chan4 chàn
3675 tai2 tái
3676 tang2 táng
3677 zhi2 zhí
3678 bao4 bào
3679 meng2 méng
367A kui2 kuí
367B chan2 chán
367C lei3 lěi
367E xi4 xì
3680 xi1 xī
3681 qiao4 qiào
3682 nang4 nàng
3683 yun1 yūn
3685 long2 lóng
3686 fu4 fù
3687 zong1 zōng
3689 gu3 gǔ
368A kai1 kāi
368B diao1 diāo
368C hua4 huà
368D kui3 kuǐ
368F gao3 gǎo
3690 tao4 tào
